masterpiece,명작
distinct,뚜렷한 이미지
blurry,흐릿한 이미지
highres,높은 해상도
high_quality,고화질
hyper_detail,높은 디테일
finely_detailed,세세한 디테일
intricate_details,복잡한 디테일
perfect_body,완벽한 신체
perfect_anatomy,완벽한 체형
unfinished,러프
sketch,스케치
ligne_claire,선이 명확한
traditional_media,손 그림
faux_traditional_media,가짜 손 그림
game_cg,게임
pixel_art,픽셀
bishoujo,미소녀
anime_art_style,애니메이션
realistic,실사체
semi_realistic,빈실사체
manga_realistic,일본풍 실사체
cartoon_realistic,미국풍 실사체
webtoon,웹툰
pixiv,픽시브
illustration,삽화
eromanga,에로 만화
shonen_manga,소년 만화
disney,디즈니
cartoon,카툰
cartoon_network,카툰 네트워크
calarts_style,칼아츠 스타일
graphic_novel,그래픽 노벨
american_cartoon,미국 카툰
american_comics,미국 만화
style_parody={},패러디
fantasy,판타지
dark_fantasy,다크 판타지
gothic_fantasy,고딕 판타지
urban_fantasy,어반 판타지
romance_fantasy,로맨스 판타지
steampunk,스팀펑크
dieselpunk,디젤펑크
cyberpunk,사이버펑크
arcanepunk,아케인펑크
greek_mythology,그리스 신화
nordic_mythology,북유럽 신화
sumerian_mythology,수메르 신화
slavic_mythology,슬라브 신화
aztec_mythology,아즈텍 신화
egyptian_mythology,이집트 신화
indian_mythology,인도 신화
japanese_mythology,일본 신화
chinese_mythology,중국 신화
celtic_mythology,켈트 신화
album_cover,앨범 표지
character_single,싱글 캐릭터 표지
cover_page,작품 표지
doujin_cover,동인지 표지
fake_cover,가짜 표지
video_game_cover,비디오 게임 표지
magazine_cover,잡지 표지
manga_cover,만화 표지
teuroteu,트로트
game_music,게임 음악
new_music,뉴뮤직
new_age_music,뉴에이지 음악
city_pop,시티 팝
animated_music,애니메이션 음악
enka,엔카
eurobeat,유로비트
electronica,일렉트로니카
gaspel,가스펠
dance,댄스
disco,디스코
reggae,레게
rock_and_roll,로큰롤
rock,록
ballad,발라드
blues,블루스
soulfulmusic,소울 음악
jazz,재즈
electronic_music,전자 음악
country,컨트리
classic,클래식
pop,팝
funk,펑크
fork,포크
hip-hop,힙합
nihonga,일본화
sumi-e,일본 페인팅
ukiyo-e,우키요에
art_deco,아르데코
art_nouveau,아르누보
romanticism,낭만주의
renaissance,르네상스
baroque,바로크
rococo,로코코
flame_painter,화염주의
impressionism,인상주의
minimalism,미니멀리즘
surreal,초현실주의
gouache,구아슈
marker,마커
millipen,밀리펜
ballpoint_pen,볼펜
chalk,분필
brush,브러시
color_ink,색 잉크
